book,div_id,div_sort,div_txt,title_txt
atb-book-of-remembrances,div-011,11,"After this, it pleased the Lord to begin to come into my soul by some beams of his mercy, in putting good thoughts into my mind to consider his great and miraculous power in the creation of the heavens, the earth and all therein contained, upon the reading of my daily psalms for the months, which happened that day to be Psalm 147, verse the fourth: He counteth the stars and calleth them all by their names. From whence there came a forcible consideration of the incomprehensible power and infinite majesty of Almighty God, who made all things in the heavens and the earth, being above all his creatures in the world. And knew what was in my heart and thoughts, and knew I was but a child in age and understanding, not able to do any good thing, which caused a deep and great apprehension and fear, with awe of his glorious majesty, lest I should offend him at any time by sin against him or my parents, and that he would punish all sins. It also caused in me a love to him, my Creator, that had made me to serve him, and his particular love and grace to me, a little child, in giving me understanding and reason to know there is a God that ruleth in heaven and earth, and to reward them that serves him truly with joy in heaven that should never have end.",
atb-book-of-remembrances,div-012,12,"There was a great fire in the next house to my father's, in St Martin's Lane in London, which burned a part of our house and had like to have burned our house but was prevented through the care of our servants. This was done at night when my father and mother was at court, but we were preserved in my Lady Leveson's house, being carried by Sarah thither. This fire did seem to me as if the day of judgement was come and caused great fear and trembling, but we were all delivered from ruin by that fire, although my father had great loss. But blessed be the Lord my God, who gave us not over to this cruel element of fire but preserved us from all evil at that time.",
atb-book-of-remembrances,div-013,13,"It pleased God to give me a safe passage with my mother and her family into Ireland about the year 1632, my father being there before and sent for us over. Where I enjoyed great happiness and comfort during my father's life, and had the opportunity of the best education that kingdom could afford in the sweet and excellent company of my Lord of Strafford's daughters, the most virtuous Lady Anne Wentworth and Arabella, learning those qualities with them my father pleased to order me, as: the French language, writing and speaking the same; singing, dancing, playing on the lute and theorbo. Learning also all the other accomplishments of working silks and sweetmeats, and by my dear mother's virtuous provision and care, she brought me up in all those suitable to that quality as my father's child. But, above all these things, I accounted it my chief happiness in those pious, holy and religious instructions, examples, admonitions, teachings, reproofs and godly education, tending to the eternal happiness and salvation of my poor soul, which I received from both my honoured father and mother, with their chaste and sober conversation in all things of this world. For all which things, and infinitely more opportunities of good to my wellbeing than I can express, I most humbly and heartily acknowledge my bounden duty of thanks and praise to the great God of heaven and earth in the first place, from whence comes every good and perfect gift, the author and finisher of our faith. And next, I humbly acknowledge my faithful thanks and gratitude to my dear and honoured parents for their exceeding great love, and painful care and affection for the performance of their part towards me: desiring of God to give me grace to live in holy obedience to all their goodness of God and theirs, and that I may perform my cordial duty to them in all godly honesty and righteous, in obeying my parents in the Lord to the end of their lives. Amen.",
atb-book-of-remembrances,div-014,14,"While we were in Ireland there was a fire in our house in Dublin, which by a providence was quenched without much harm.",
atb-book-of-remembrances,div-015,15,"About the time I was 12 years old, I was reading of the great wisdom of our saviour in the Gospel, where he was disputing with the doctors with so much power that he put them to silence. Upon which place in the reading thereof, being that day 12 years old, I fell into a deep thought of the majesty of Jesus Christ, who was able to confound the doctors at that age. And then I considered my childishness and folly that could not scarce understand mean and low things, and begged of him to give me knowledge, wisdom and understanding to guide and preserve me to my life's end for his mercy's sake. Amen.",
atb-book-of-remembrances,div-016,16,"Having come over into England with my dear mother to the bath for the stone, in our return back to Ireland, August 22nd, 1639, I, with the rest of the ship and the passengers, was delivered from that great and terrible storm in Neston Water, where there was five ships cast away before we took ship. But the same great God that maketh the storms to cease brought us safely out of that storm and carried us well to the land, though in great fright and much distress. I praise the Lord who brought my soul out of the deep waters and fathomless gulf of waters. Praise his holy name forever and forever. Amen. I had a second preservation from drowning out of the ship at that time, when a cable had like to have pulled me into the sea but for a shipman that saved me as I was half over. Bless the Lord, O my soul, and forget not the deliverance. Amen.",
atb-book-of-remembrances,div-017,17,"It pleased God to call for my dear and honoured father — by a fever of six days' continuance, after a relapse by going to church and came sick home — who departed sweetly in the Lord to the infinite loss of me and the rest of our family, December 3rd, 1640, at his house in Dublin in Ireland.",
atb-book-of-remembrances,div-018,18,"It was amongst the many thousands of other protestants in Ireland miraculously preserved from that horrid rebellion in Ireland which broke out and was discovered in Dublin, October 3rd, 1641, but it was acted with bitter malice and fury against the English in the country for many days together, fire and sword to all in general, until it was known to be prevented in Dublin. But we were tossed with frights and alarms for 14 days after, until my mother did get over with all her family to Westchester which, blessed be God in great and wonderful mercy, we did and came safe to land at Neston Beer house, from thence to the city of Chester.",
atb-book-of-remembrances,div-019,19,"I got the smallpox at Westchester of my brother John and was very near death with them, but blessed be the God of mercies who spared my life at that time, also with my brother John who had them, but a poor boy, Frank Kelly, died of them then.",
atb-book-of-remembrances,div-020,20,"We were prevented from the siege at York by Mr Danby's advice being got halfway thither, 1642.",
atb-book-of-remembrances,div-021,21,"I got a surfeit at Richmond with eating a piece of lobster, 1643. That day I had taken physic, which had like to have proved my last, being brought exceeding weak through vomiting and purging, but by the blessing of God — upon Mr Mahum's advices and my mother and good Aunt Norton's care — I escaped and yet live to render him the glory and praise of all his wonderful deliverances and mercies. Bless the Lord, O my soul, and all that is within thee, praise his holy name forever. Amen.",
atb-book-of-remembrances,div-022,22,"My sister Danby died at Thorp, September 10th, 1645, of her 16th child being a son named Francis, which I baptised.",
atb-book-of-remembrances,div-023,23,"My cousin, Edmund Norton, married Mr Dudley's daughter and heir of Chopwell, Jane Dudley, the 10th of February 1647, at Chopwell.",
atb-book-of-remembrances,div-024,24,"My cousin, Edmund Norton, died at York of a pleurisy, or stitch in his side, the 30th of November 1648.",
atb-book-of-remembrances,div-025,25,"King Charles I beheaded at Whitehall, London, the 30th of January 1648.",
atb-book-of-remembrances,div-026,26,"My cousin, Julian Norton, died at Richmond Green at her father's, the 9th of April 1649.",
atb-book-of-remembrances,div-027,27,"My cousin, John Norton, died at St Nicholas.",
atb-book-of-remembrances,div-028,28,"My uncle, Sir Edward Osborne, died at Kiveton of a surfeit of eating melons, being too cold for him.",
atb-book-of-remembrances,div-029,29,"My brother, George Wandesford, was drowned riding over the Swale at Hipswell wath going to Richmond to my uncle, William Wandesford, the 31st of March 1651.",
atb-book-of-remembrances,div-030,30,"My cousin, Mary Norton, was married to Mr John Yorke at her father's house on the green in Richmond, the 12th of August 1651.",
atb-book-of-remembrances,div-031,31,"My brother, Christopher Wandesford, married Sir John Lowther's eldest daughter, Mrs Eleanor Lowther, the 30th of September 1651, at Lowther.",
atb-book-of-remembrances,div-032,32,"Myself, Alice Wandesford, was married to William Thornton, esquire, at my mother's house in Hipswell, the 15th of December 1651. Married by Mr Syddall.",
atb-book-of-remembrances,div-033,33,"I began my great sickness after I came from Burn Park the first time, about the 6th of August 1652 (and miscarried of my first child, being a daughter, the 27th of the same, August 1652, being Friday, and she was buried at Easby church, near Richmond the next morning ): the effects of which sickness lasted by an ague, fever and jaundice three-quarters of a year at Hipswell.",
atb-book-of-remembrances,div-034,34,"Alice Thornton, my second child, was born at Hipswell, the 3rd of January, and baptised the fourth of the same, 1653. Witnesses: my mother, my uncle Maulger Norton and Cousin Yorke, his daughter. She was born on a Tuesday, between the hours of five and six o'clock in the afternoon. Christened by Mr Syddall, fourth.",
atb-book-of-remembrances,div-035,35,"Elizabeth Thornton, my third child, was born at Hipswell, the 14th of February 1654, being Wednesday, half hour after eleven o'clock in the forenoon, and was baptised the 16th of February by Mr Anthony. Witnesses: my mother, my aunt Norton and my brother, Christopher Wandesford. Mrs Blackburne stood for my mother, being sick then.",
atb-book-of-remembrances,div-036,36,"My mother Gates died at Oswaldkirk of the voidance of blood the 10th day of May 1655, and was buried at Stonegrave the 11th of May 1655.",
atb-book-of-remembrances,div-037,37,"My father Gates died at Hull, the 18th of May 1655, and was buried at Hull, the 18th of May 1655.",
atb-book-of-remembrances,div-038,38,"My brother, Richard Thornton, died in Dublin in Ireland of the flux country disease, the 3rd of July 1656, and buried in St Patrick's church the next day.",
atb-book-of-remembrances,div-039,39,"Katherine Thornton, my fourth child, was born at Hipswell the 12th of June 1656, being Thursday, about half an hour after four o'clock in the afternoon and was baptised the 14th of June by Mr Syddall. Witnesses: my mother, my niece Katherine Danby, and Mr Thornton.",
atb-book-of-remembrances,div-040,40,"Elizabeth Thornton, my third child, died the 5th of September 1656, betwixt the hours of five and six in the morning of a cough gotten at first by an ague, and much gone in the rickets caused by ill-suck at two nurses. Her age was one year six months and twenty-one days, was buried the same day at Catterick church by Mr Syddall.",
atb-book-of-remembrances,div-041,41,"I got a great fall over the threshold in the hall at Hipswell, being great with child of my fifth child wanting but ten weeks before of my time, the 14th of September 1657, which cast me into an ill fit of a fever and the jaundice about three weeks, very weak and likely to have miscarried, but it pleased God to restore me of Dr Wittie, who let me blood, and I went to my full time. Blessed be the most high God deviser of heaven and earth et cetera.",
atb-book-of-remembrances,div-042,42,"I was delivered of my fifth child, being a goodly son, upon the 10th day of December 1657, between the hours of two and three o'clock in the morning, upon Thursday, having had very sore travail, in danger of my life from that time in the morning on Wednesday, caused by the child's coming into the world with his feet first and so caused him to be strangled almost in the birth. He lived about half an hour so died and was buried in Catterick church the same day by Mr Syddall: he was turned wrong in my womb by the fall I had in September before. The weakness of my body continued so great and long after my hard child birth of my son that it brought me almost into a consumption, none expecting for many days together that I should at all recover. And when it was done, I was lame almost a quarter of a year of my left knee that I got in my labour, but this was nothing to that which I have deserved from the hand of God if he, in much mercy, had not spared my life. The Lord makes me truly remember his goodness and that I may never forget this above all his mighty and stretched-out hand of deliverances to me, his poor creature, that I may extol and praise the Lord with all my soul and never let go my hope from the God of my salvation, but live the remainder of the life he gives me to his honour and glory, and at the last may praise him eternally in the heavens. Bless the Lord, O my soul, and forget not all his benefits. Amen. Amen.",
atb-book-of-remembrances,div-043,43,"It pleased God to visit my dear and honoured mother, the Lady Wandesford, with her last sickness upon Friday the 17th of November 1659: beginning the eighteenth, an exceeding great cough tormenting her body by stitches in her breast and short breathing; these stitches continued about 14 days, with the cough hindering her from almost any sleep. When, upon the use of bags with fried oats, butter and chamomile chopped laid to her sides, the stitches removed, and the cough abated as to the extremity thereof. But then she was seized with a more dangerous symptom of a hard lump contracted in her stomach that laid on her heart with great pain, and rising up to her throat, almost stopping her breath when she either swallowed anything or laid to sleep. Which lump was conceived to be contracted of phlegm and wind in the stomach for lack of voidance. She had also an exceeding sore throat and mouth, so that she was deprived of the benefit to swallow almost any kind of food, even to a little drop of beer which was, for four days or five, the most she took inwardly and that but with a syringe. The tongue and mouth at first was black, then turned white, so that — with the pains my dear mother took in washing and cleansing — the skin came off like a callous tongue, and was raw and red until the blood came, but this continued and in the end grew with a white skin all over. In this condition of weakness was my dear mother, almost quite without food, rest, ease or sleep for about a week; in which time, as in all her sickness, she expressed extraordinary great patience, still saying the Lord had sent it to her and none could take it from her and if he pleased he could ease her and that the way to heaven was by the gates of hell. She was an example and pattern of piety, faith and patience in her greatest torment, still with godly instructions, gentle rebukes for sin, a continual praying of psalms suitable for her condition, speaking to God in his own phrase and word, saying that we could not speak to him from ourselves in such acceptable a manner as by that which was dictated by his own most Holy Spirit. When that any did pray for her, she desired they would not pray for her life but that these should be the heads on which they should petition God for her: that the Lord would be pleased to grant her true and unfeigned repentance for her sins; to give her remission and forgiveness through Jesus Christ her saviour; to grant her faith in him, with the sanctification of his Holy Spirit; and, at last, to glorify her in heaven, which petitions, said she, 'whosoever shall make for me, the Lord hear and grant the same'. She had always a great and unfeigned love for all God's ministers and often desired their prayers, giving great attention to them, having much comfort in her soul after that ordinance. Her desire was to receive the Holy Sacrament, which she did with comfort the Thursday (was seven night before she departed) from Mr Peter Samways, although it was with great difficulty of swallowing, never tasting dry bread after, for the weakness. Her desire was to Mr Kearton that he would preach her funeral sermon. Text to be out of the 14th of Revelation, 13th verse: 'Blessed are the dead that die in the Lord', and so to the end. This blessed soul had the gift from God as to continue, until the last breath, her perfect memory, understanding, and great wisdom and piety, ever recommending her soul with desire to be dissolved and so be with Christ. And all the Friday night before she died, 'Come Lord Jesus, come quickly', she, making Daphne to pray with her the prayer which Dr Smith made in his book for a person at the point to die and took great notice of each petition, praying the same with zeal and earnestness. About Thursday, at night, she sent for her children to take her leave. When Mr Thornton and myself came and prayed with her, and so took the saddest leave of my dear parent as ever child could to part with so great a comfort, she praying for us, our children and all her friends, with her blessings for us both. It pleased God she continued until Saturday, about noon, when she spoke to my uncle Norton and recommended her children to his care, with much good prayers for him and his, then took her leave of him. Towards six o'clock at night, her speech failed and still she could lift up her hands to God. And Daphne prayed her that she would give them some sign that she found the comfort of God's spirit in her soul, with a taste of the joys of heaven, which she immediately did. And lift up both hands and eyes to heaven three times and, closing her eyes herself, that sweet saint fell asleep in the Lord between the hours of seven and nine o'clock at night, upon Saturday the 10th of December 1659. She was interred upon Tuesday following, the 13th of December, in the chiefest place in her quire at Catterick church, being carried out of her house by the Lord Darcy, his son, Mr Conyers, Sir Christopher Wyvill and diverse kindred of quality. Then, from Hipswell Green, her tenants took her so to the tower's end of Catterick, where the ministers appointed by her did carry her into the church and so to the grave after the sermon. The ministers' names were: Mr Samways, Mr Kearton, Mr Edrington, Mr Binlows, Mr Robinson, Mr Smith, Mr Farrer, Mr Brockhall, Mr Parkes. Dr Wittie was her physician but could not come (only sent Dr Atie with diuretics for her). She had also Dr Smith at the beginning of her sickness but liked him not. (Enter her prayers my mother made on several occasions.)",
atb-book-of-remembrances,div-044,44,"It was the good pleasure of God to continue me in the land of the living, and to bring forth my sixth child, at St Nicholas, upon the 12th of April and, after hard labour and hazardous, was in his mercy delivered of a strong, goodly son about three or four o'clock in the morning, being Tuesday 12th April 1660. The child, being baptised that day by Mr Kearton of Richmond, called William. Sureties: my cousin John Yorke, cousin William Norton and cousin Darcy of Richmond.",
atb-book-of-remembrances,div-045,45,"My pretty babe was in good health and sucked his poor mother to whom my good God had given the blessing of the breast as well as the womb of that child. But, on the Friday sennight, he began to be angry and, after taking Gascon's powder, having had three hours sleep, his face was full of round red spots, like the smallpox, with white wheals continuing in his face until night. And then, whether through cold or what else the Lord knows, they struck in and he waned sick all night and, about nine o'clock on Saturday morning, sweetly departed this life to the great discomfort of his weak mother, whose only comfort is that the Lord had received him to that place of rest in heaven where little children behold the face of their heavenly Father. To his God and my God, whom I humbly crave to cleanse me from my sins by the blood of my saviour and redeemer, and that my soul may be bettered by these chastisements that hath laid heavy upon me for these many years wherein the Lord hath chastened and corrected me but not given me over to destruction, his glorious name be magnified forever. And I beseech him to sanctify these fatherly rebukes and make them profitable to my poor soul to bring me nearer in communion with himself, that so I may be prepared for his glory both in this world and the next, even for Christ Jesus his son's sake. Amen. My child was buried at Easby, in the same grave with his eldest sister, by Mr Kearton who preached of Sunday.",
atb-book-of-remembrances,div-046,46,,
atb-book-of-remembrances,div-047,47,"I began a dangerous sickness at Oswaldkirk, after my dear mother's death, being caused by a cold I got in that church, causing a very great and violent vomiting upon Shrove Tuesday 1661, February 13th, so continuing until I was not able to receive any kind of sustenance; being in an intermitting fever, was compelled to send for Dr Wittie, which let me blood and gave many cordials to strengthen my stomach, but nothing would stay with me until I drank a draught of cold water, which more refreshed my thirsty soul than what art could give. That night, being the 17th of February, I did verily believe should be my last in this life, being brought into exceeding great weakness of body but more of spiritual desertion, apprehending my state to be in a lost condition, by reason of my sins and sorrows: Satan accusing me and casting multitude of doubts into my heart, as that: surely I did not belong to God because he followed me with such great crosses, afflictions and troubles, which seemed to be curses, rather than such trials as he used to lay upon those that were his children; and that I had neglected all those offer and tenders of mercies which he had from time to time given me from my youth up, in the examples, instruction, admonition of my dear parents first, and then by his ministers in the word and sacraments; his great deliverances all the days of my life innumerable, yet all these had not wrought a thorough conversion and change of heart in me to walk according to his motions by his spirit. And that now it was too late to hope, because I had driven it so long that my life was at an end (for aught I knew this was my last summons); and that, although God was able to have mercy upon me, yet I had so often fallen into sin and forgetfulness of God that he would not have mercy upon me at the last hour. These, with much more arguments against my poor soul, did that old serpent seek to destroy my hopes of mercy: my own conscience framing arguments against itself joining with him as being conscious of my own unworthiness. In this most sad and heavy condition I was, having no soul living that I could open my thoughts to nor receive any comfort for my heavy spirit: God seemingly to forsake me; the devil accusing my conscience; my sickness and weakness threatening my dissolution each minute. Yet did I desire to cast myself solely at the feet of the most gracious God whom I had offended and, though he should kill me, yet would I trust in him for pardoning and strengthening mercy. And it pleased him, in a most wonderful manner, to give me some comfort and stay, when I was almost past all hope, out of that blessed portion of scripture which our blessed saviour spoke in St Matthew, the 11th chapter and 28, verses 29-30, which like lightning pierced into the secret of my heart and soul, bringing relief and some hopes of comfort by his sweet and effectual call: Come unto me, all ye that labour and are heavy laden, and I will give you rest. I laboured under and was heavy laden with the burden of my sins under the bondage of Satan: the one bringing me to slavery; the other of shame and torment, persuading me time was past for any help. But, lo, the lion of the tribe of Judah put to flight this prince of darkness which deceives the poor, weak Christian, making him doubt of that rich goodness that is eternally in God as his very being, and at this very time Christ Jesus, the righteous, came into my thoughts with healing under his wings, making it appear that Satan was a liar: he calls, he invites, he persuades me to come unto him. He it was that give me this scripture to stay my drooping heart, even ready to faint for want of spiritual food: I was weary, and he said 'Come'. I was faint and heavy laden. He said, Come unto me, all ye that labour and are heavy laden, and I will give you rest. Lord, if thou art pleased to call all that are weary, that labour, why should not I come? Thou hast promised to give me rest: I need it, I want it, I cry unto thee out of the whale's belly of despair. 'O God, the father of heaven, have mercy upon me. O Christ, the redeemer of the world, have mercy upon me, and O holy, blessed and glorious spirit, have pity upon me. O most glorious Trinity, three persons and one God, help thy poor, distressed, weak handmaid plunged in the depth of sin and misery, which none but thy almighty power is able to help, deliver and save from the jaws of the devil, seeking to devour and make a prey of my soul. And as thy holy wisdom, O blessed Trinity, did set thyself on work, by and through mercy and almighty power, to find out a way for man's redemption of thy free grace, thou, O my dear saviour, suffered the wrath of thy father upon the cross to purchase our salvation, so now art thou pleased to vanquish my grand enemy by the power of thy word to me: I believe, Lord help my unbelief, that thou art as merciful to me as others who fall by sin, and art pleased to give me plenty of calls and comforts, who in my sad hour was a God of compassion. I come, O Lord to thee, with all my powers and faculties of my heart and soul, though weak yet with a desire unfeigned, and hope of thy clemency and sweetest mercy that it will not be in vain that this thy word came into my heart. This was from thy goodness to let me see that the time was not passed to come unto thee. Thou most sweetly calling me at that present when my heart was in doubt. I come, O my God, and take up thy sweet yoke and follow thee. Oh, learn me to be patient, meek and lowly in heart; for thy yoke is easy, and thy burden is light. Yea, thy ways is perfect freedom. Let me forever make thee my pattern, my comfort, my life and direction, so shall I find rest to my soul. Rest, oh, how sweet is that word to my languishing soul. Oh, let me find rest from sinning, from offending thee anymore. It is too much that I have spent so many of my years in sin, let me now work for thee, love thee, delight in thee and fear nothing but thee, spending the remainder of my days to the glory of thy name, being never more a shame to my profession as a Christian by my unprofitable life nor give Satan any more advantage to tempt my soul to sin or despair, and this I humbly beg for thy mercy's sake, O blessed Jesus. Amen'.",
atb-book-of-remembrances,div-048,48,"After this inestimable mercy, which my gracious God did give me in the satisfaction of my spiritual doubts, he was pleased to suffer my soul to receive comfort. And my body strengthened by degrees and by the use of good means until I had recovered in part my health, yet my strength was much impaired and for a quarter of a year I did not fully recover. At which time I found myself with quick child, a blessing I could not hope or expect after so dangerous and desperate a condition wherein the doctor did verily believe that I could not retain the conception, after that violent extremity of vomiting which loosened the womb exceedingly. But blessed be the gracious goodness and mercy of God, which rebuked the fever and gave me means to help the weakness of my nature, giving me a fresh supply of all remedies fit for my condition and to strengthen the conception by plaster on my back and belly, with the same directions that Dr Wittie prescribed ( February 21, 1661 ) which with God's blessing prevail for a perfect recovery.",
atb-book-of-remembrances,div-049,49,"After I had received my health and strength again in this miraculous manner, being still at Oswaldkirk, there happened a very great and remarkable deliverance to me of another nature, but of as grand a consequence to my being, so much as my wellbeing and the infant's in my womb. About the May following the business was this. I had bought six young steers, with some of the monies that my dear mother had given me before her death which was £150l for my own use. Which steers I intended for Mr Thornton's draught and, in case I should die of that child, I made it my desire to Mr Thornton that he would pay those monies which was agreed upon by my brother Denton, which set the price betwixt us being £24l for the six steers (I allowing Mr Thornton £4l- for the wintering them since Martinmas 1661 until May Day). I say he promised me to make a bond of his own good will to my mother's executors for the said money to be paid by him at the next Michaelmas 1661, but it so happened that Mr Thornton did draw the bond for Martinmas and not for Michaelmas as he first intended. and I his which he was pleased to ill manner from me, and fell very much offended, so that I was much troubled at his displeasure in that kind and could not refrain from weeping at that incident — which I intended for his good — should turn to evil betwixt us. But so, it pleased God to suffer Satan to tempt (for my greater trial) that Mr Thornton was in a very high passion against me for that particular mentioned and that I should weep, as he said, on purpose to shame him (which God knows, it was not for such end but that there should be that difference betwixt us upon so small a cause). his feet, being big with child and in a very sad condition for this accident and, holding him fast, entreated him for the Lord's sake to take heed what he did to himself, and that it was the devil which tempted him against himself and me to destroy us all; praying him to take the goods, I would never own any of them rather than he should be offended. And begged for Christ's sake to put away that evil design, and alas, if he should do it, what would become of his poor soul more worth than the world? And of his infant, innocent in me, who would be questioned for his death and perhaps might suffer, there being no witnesses but God and my own innocency. Still, I begging of God to hinder and prevent anything that might hurt him, at last my ever gracious Father in heaven, in mercy was pleased to withdraw my husband's passionate hand against himself and us, and to appease his anger by degrees. But this unhappy accident wrought so infinitely with grief upon my heart that I fancied I saw the very blood upon his penknife and had very near gone to make me miscarry at that instant, but my merciful God did preserve me at that very time from miscarriage also. Oh, what shall I render unto the Lord for all his goodness declared unto me, weak worm, unworthy to live upon the earth or have such infinite mercies poured upon me? He heard my groanings at this time also, and delivered my husband from his evil intentions and rash act against his weak creature, his wife, and poor babe in my womb. I confess my folly had deserved a great punishment but what had it done that should have suffered with me? Now, lo, the Lord God of Hosts was at hand to deliver in secret and send help from above. Therefore, praise the great God on high and render, O my soul, all that is within thee to his holy name that heard and delivered thee in thy deep distress. Let not this nor any of his great mercies be forgotten by thee whilst thou lives. Yet, it pleased God that this mercy should not be forgotten. He did, I believe, set a mark upon my son Robert's heart for a note of his deliverance at that time. For, when the child was born, he had a very strange mark, just upon his heart, of sprinkles of blood, pure and perfectly distinct round spots, like as if it had been sprinkled upon his skin and the white perfectly appearing betwixt them and in the midst thereof, as if it had been cut with a knife, a longish cut. In this form it continued for half a year in its perfect colour, being seen oftentimes by myself, Mr Thornton, my brother Denton, my two sisters and several others, with the nurse and servants. This changed into the shape of a perfect heart, all the spots being contracted into one, in that form and colour. Then, by degrees, grew like a perfect 'T' of the same colour and continued so until the child was near a year old and then it grew bluish and, by little and little, it went quite away, and no appearance thereof left of it. This also must be imputed to the goodness of God who would not leave such a remark of our offence but gently to put us in mind of our folly and provocation of his wrath. I humbly offer my unfeigned thanks and praise to his holy name, which heard my humble supplication in this particular by removing this unkindly and unusual remembrance, which caused grief at each sight thereof. But yet, my soul, do not in the least measure prove ungrateful for the many mercies received at the hand of God, nor bury them in forgetfulness and unworthy walking before him all the days of thy life but set this up as a pillar of praise to his majesty forever. Praise the Lord, O my soul, and forget not all his benefits, which hath not turned away his face from thy prayer but granted thy petitions.",
